user_id,age_group,layout,time_spent
1001,Young,Old_Layout,13.68
1002,Older,New_Layout,6.76
1003,Older,Old_Layout,4.66
1004,Older,New_Layout,8.55
1005,Young,New_Layout,19.37
1006,Young,Old_Layout,13.8
1007,Young,Old_Layout,17.24
1008,Older,Old_Layout,4.59
1009,Older,New_Layout,7.97
1010,Older,New_Layout,6.88
1011,Young,Old_Layout,11.36
1012,Older,Old_Layout,6.33
1013,Older,Old_Layout,6.11
1014,Young,Old_Layout,14.58
1015,Young,Old_Layout,15.1
1016,Young,New_Layout,18.77
1017,Young,Old_Layout,12.66
1018,Older,New_Layout,7.21
1019,Older,Old_Layout,6.19
1020,Young,Old_Layout,13.12
1021,Older,New_Layout,8.44
1022,Young,Old_Layout,12.97
1023,Young,New_Layout,18.7
1024,Young,New_Layout,17.95
1025,Older,Old_Layout,2.58
1026,Older,New_Layout,9.75
1027,Young,New_Layout,16.9
1028,Older,Old_Layout,3.78
1029,Older,New_Layout,8.3
1030,Young,New_Layout,19.72
1031,Older,New_Layout,6.48
1032,Young,Old_Layout,15.09
1033,Young,Old_Layout,15.64
1034,Older,New_Layout,9.04
1035,Older,New_Layout,8.26
1036,Older,New_Layout,7.45
1037,Young,Old_Layout,13.76
1038,Young,Old_Layout,15.13
1039,Older,New_Layout,6.39
1040,Older,New_Layout,3.62
1041,Young,Old_Layout,15.65
1042,Older,New_Layout,9.36
1043,Young,Old_Layout,11.46
1044,Older,New_Layout,6.49
1045,Young,New_Layout,18.93
1046,Older,New_Layout,11.09
1047,Young,Old_Layout,15.03
1048,Older,New_Layout,6.91
1049,Older,Old_Layout,4.73
1050,Young,Old_Layout,17.06
1051,Older,Old_Layout,4.03
1052,Older,New_Layout,6.8
1053,Older,Old_Layout,4.28
1054,Older,New_Layout,6.57
1055,Older,Old_Layout,5.18
1056,Older,New_Layout,10.44
1057,Young,Old_Layout,15.48
1058,Young,Old_Layout,14.62
1059,Young,Old_Layout,14.56
1060,Young,Old_Layout,12.66
1061,Young,New_Layout,19.32
1062,Young,New_Layout,17.88
1063,Older,New_Layout,7.73
1064,Young,Old_Layout,19.79
1065,Young,Old_Layout,15.45
1066,Older,New_Layout,6.87
1067,Young,Old_Layout,14.36
1068,Older,New_Layout,9.72
1069,Young,Old_Layout,15.17
1070,Older,New_Layout,5.84
1071,Older,New_Layout,9.38
1072,Young,Old_Layout,14.0
1073,Young,Old_Layout,17.81
1074,Older,New_Layout,9.62
1075,Older,Old_Layout,4.33
1076,Older,New_Layout,9.92
1077,Older,New_Layout,8.1
1078,Young,Old_Layout,16.28
1079,Young,Old_Layout,15.73
1080,Young,New_Layout,16.73
1081,Older,New_Layout,7.03
1082,Older,New_Layout,9.54
1083,Young,Old_Layout,14.5
1084,Young,New_Layout,17.39
1085,Young,New_Layout,16.57
1086,Young,Old_Layout,15.64
1087,Older,New_Layout,11.09
1088,Older,New_Layout,6.4
1089,Older,Old_Layout,5.04
1090,Older,New_Layout,10.12
1091,Young,New_Layout,17.88
1092,Older,New_Layout,8.68
1093,Older,New_Layout,6.41
1094,Older,New_Layout,8.64
1095,Older,New_Layout,7.72
1096,Older,New_Layout,9.48
1097,Older,New_Layout,9.78
1098,Older,New_Layout,11.88
1099,Young,Old_Layout,15.87
1100,Young,Old_Layout,15.49
1101,Young,Old_Layout,15.29
1102,Older,Old_Layout,4.47
1103,Young,New_Layout,18.51
1104,Older,Old_Layout,4.56
1105,Older,Old_Layout,5.25
1106,Young,Old_Layout,16.98
1107,Older,New_Layout,6.49
1108,Older,New_Layout,9.71
1109,Young,Old_Layout,16.98
1110,Young,Old_Layout,14.82
1111,Young,New_Layout,14.82
1112,Young,Old_Layout,14.09
1113,Older,New_Layout,9.95
1114,Older,New_Layout,7.97
1115,Older,New_Layout,6.5
1116,Older,New_Layout,7.24
1117,Older,New_Layout,9.26
1118,Young,New_Layout,18.82
1119,Older,New_Layout,7.64
1120,Older,New_Layout,7.45
1121,Older,Old_Layout,4.41
1122,Older,Old_Layout,3.62
1123,Young,New_Layout,20.42
1124,Young,New_Layout,17.52
1125,Young,Old_Layout,16.83
1126,Older,New_Layout,10.28
1127,Older,New_Layout,9.5
